cell_ID,cohort_Nr,Species,H,HCB,D,N
1,1,pabi,700.5094424869684,82.18571114434687,9.571859502806749,6
2,1,pabi,10,0,0,0
3,1,pabi,738.9873528570057,85.44329913402568,10.197198461960006,4
4,1,pabi,753.7074633688347,33.19680529465546,10.436428152386647,22
5,1,pabi,688.4432085014408,119.73800065323302,9.375760335028522,5
6,1,pabi,854.6392226357344,331.4337133533327,12.076760506157578,8
7,1,none,0,0,0,0
8,1,pabi,48.37801435405112,2.078286238939385,0,0
9,1,pabi,829.3427688399568,108.49925840964163,11.665645195196248,12
10,1,pabi,110.2729988505605,8.279275780482262,0,0
11,1,pabi,854.623888022457,289.92197281099334,12.076511289632727,7
12,1,pabi,559.3353686784519,231.85075073854983,7.277513278548488,5
13,1,pabi,1446.426580400684,588.8882660079836,22.454860238611488,4
14,1,pabi,1274.2429874411173,401.9867275159675,19.55747829736036,10
15,1,pabi,15.81187443268334,3.0161156901023816,0,0
16,1,pabi,405.06271724611685,116.6100555176691,4.770290346098579,0
17,1,none,0,0,0,0
18,1,pabi,1578.7856572560856,248.34038850476068,24.706432132350812,5
19,1,pabi,657.5004089507456,46.26569232250206,8.872881205724577,1
20,1,pabi,10,0,0,0
21,1,none,0,0,0,0
22,1,pabi,1178.0628755627424,201.82907142808799,17.92312561686161,31
23,1,pabi,751.706214036172,166.36049694008193,10.403904058363393,20
24,1,pabi,427.18833653984836,23.502959724428365,5.129873587670279,2
25,1,pabi,103.35699793250207,2.1434979809621164,0,0
26,1,pabi,1326.0553971597683,252.52448849648277,20.430366363165124,13
27,1,pabi,1203.2901331342957,226.24562466145443,18.35425540678158,17
28,1,pabi,556.8849590102463,43.90036365581206,7.237689477913827,1
29,1,pabi,695.6239537953139,120.5939465274762,9.492461053566293,10
30,1,pabi,788.6178974339701,445.2967689307189,11.00378886121765,5
31,1,pabi,1080.9121981143642,180.9996399266343,16.23885539009309,55
32,1,pabi,583.4110974187624,152.97420649030943,7.668789494084498,2
33,1,pabi,994.0175163276997,154.96832465798218,14.687779051309294,3
34,1,pabi,956.4563957563224,82.53577861023841,14.000003764028635,5
35,1,pabi,834.940711157301,49.15914907963433,11.756622365953785,1
36,1,pabi,967.7895424931132,93.91088055852921,14.208777431440092,3
37,1,pabi,581.5837062531585,12.364669247301768,7.639090924737175,2
38,1,none,0,0,0,0
39,1,pabi,806.9180190842744,183.86469680022316,11.301200516765622,7
40,1,pabi,569.5356390161243,25.567649886971573,7.443287001047954,5
41,1,pabi,735.1902359250473,37.748158319541474,10.135488116279095,12
42,1,pabi,584.4946898710925,129.88393072934062,7.686399924842558,1
43,1,none,0,0,0,0
44,1,pabi,801.9120865475296,158.23247545702407,11.219844626801363,2
45,1,pabi,675.4258120681267,23.48710370884285,9.164202975020926,1
46,1,pabi,109.40560098314994,0,0,0
47,1,pabi,661.254784738687,595.1293062648183,8.933896926820744,7
48,1,none,0,0,0,0
49,1,none,0,0,0,0
