cell_ID,cohort_Nr,Species,H,HCB,D,N
1,1,fsyl,1395.8273408212606,86.28820072806732,10.295918275148269,4
1,2,fsyl,1281.2359308512125,21.424697431144303,9.391018902241521,2
2,1,fsyl,1329.6219530563192,748.721150346087,9.773111077931631,2
2,2,aalb,226.6301047922841,150.75325286174322,1.8435687568014225,8
3,1,aalb,2003.8009229208665,61.40898197019486,26.92827564463371,18
3,2,aalb,206.5330962866979,44.32459517206706,1.5225392434182312,10
4,1,fsyl,1632.2199332085345,1305.7759465668278,12.39794361319301,26
4,2,aalb,159.28193730158299,143.3537435714247,0.7677494660458002,41
5,1,apse,1714.9840929448112,1371.987274355849,12.878511061635056,3
5,2,aalb,124.82779211100151,99.0213362555629,0.21737912304217777,0
6,1,fsyl,1613.5353044123995,933.0387667860185,12.015102983512705,10
6,2,aalb,227.07502132877505,134.80325339321783,1.8506758513307464,10
7,1,aalb,1510.4505216322714,1089.3948860429678,20.04863227198103,29
7,2,aalb,174.9136996116904,50.935636949117054,1.0174511590286446,33
8,1,fsyl,1332.5933666764613,1066.074693341169,9.796575579522248,1
8,2,aalb,205.05030583903348,184.54527525513015,1.4988531562211918,14
9,1,aalb,1842.752709333675,828.5301027412904,24.709107282079138,11
9,2,fsyl,396.233569698211,18.707543808401944,2.4023791618136388,20
10,1,fsyl,1438.598751233478,903.1484131951302,10.633673282006715,1
10,2,aalb,224.6132284232549,152.70550981067424,1.8113511837669318,19
11,1,aalb,1905.4340005569584,225.40713456953543,25.572754973607196,10
11,2,aalb,182.31203556891344,27.548066648697564,1.1356321406176455,12
12,1,fsyl,2059.5869050425617,621.7784345250774,20.610372173423677,21
12,2,aalb,68.51195916310753,21.416138501803964,0,0
13,1,none,0,0,0,0
13,2,aalb,85.3317644632904,74.93693190501308,0,0
14,1,aalb,1925.5289490552377,0,25.849486998081968,28
14,2,aalb,57.75923169899306,0,0,0
15,1,fsyl,1399.7595328733428,955.9629633072066,10.326969800938972,1
15,2,fsyl,1222.3250518010223,783.7304924701483,8.925814594834568,2
16,1,fsyl,1918.6928588481608,1437.6071834627394,17.886148234984272,19
16,2,aalb,191.93862153653848,109.98663029987779,1.2894071767315582,19
17,1,aalb,1535.8437477598807,1382.2593729838927,20.413566235186277,21
17,2,aalb,135.98390752716813,73.16936534849278,0.39558685491944634,93
18,1,aalb,2249.918174456039,652.7752587733897,30.364937154372704,13
18,2,aalb,153.93309067635366,28.77449501242122,0.6823070167986203,41
19,1,none,0,0,0,0
19,2,aalb,142.77501367171487,32.97102641076922,0.504067950516905,67
20,1,aalb,1915.7702484522624,0,25.715097259714472,2
20,2,fsyl,439.51715001203877,0,2.7441786448061176,14
21,1,fsyl,1929.038672075167,735.6527822150468,18.084821294983005,20
21,2,aalb,196.07186121457227,62.103747085187344,1.3554315266822716,12
22,1,fsyl,1880.4734708215944,555.5497369394791,17.153409078157296,19
22,2,aalb,188.54649877226876,51.06712927679587,1.2352214246557274,22
23,1,aalb,16.837459881111535,1.2259575694417357,0,0
23,2,aalb,230.36432623368,62.680726312129856,1.9032191914351733,14
24,1,aalb,10,0,0,0
24,2,aalb,48.16518166932559,18.334363507584328,0,0
25,1,fsyl,1550.2077942144945,803.8744202525268,11.515021657339929,6
25,2,none,0,0,0,0
26,1,fsyl,1580.0996335041143,129.36428922014946,11.751069949574717,9
26,2,aalb,148.19039492902638,8.873051714945813,0.5905732236442931,37
27,1,fsyl,1488.6410400319303,334.01168261960066,11.028844575949027,1
27,2,aalb,105.71660978900216,7.778261267652838,0,0
28,1,fsyl,1356.9049193185292,671.7971785413855,9.988557759913839,1
28,2,fsyl,1152.967018757667,461.2480663503372,8.378111755473551,1
29,1,fsyl,1717.0445424215068,261.35267610421664,14.02755259969681,24
29,2,aalb,205.0555039918905,8.180947631328072,1.4989361914889392,15
30,1,aalb,67.10410350747354,19.424881485051348,0,0
30,2,aalb,245.9414291735716,122.82757902006176,2.152047755911487,8
31,1,fsyl,1491.2226049682388,1188.7554336213327,11.049230541115127,2
31,2,fsyl,1278.2728985345923,1022.6183188276739,9.367620585684348,1
32,1,fsyl,1745.7494437819475,363.0474151676568,14.577033526005843,24
32,2,aalb,229.81512126969182,36.14105487716906,1.894446194086451,16
33,1,fsyl,1971.3115264935511,0,18.8984393520093,26
33,2,none,0,0,0,0
34,1,aalb,12.52296652877342,0.20825690544155873,0,0
34,2,aalb,124.58286612193068,8.912945647160765,0.21346667651739004,0
35,1,fsyl,2290.1102273086294,50.943673760941074,25.222902129010425,16
35,2,aalb,244.32345663275876,0,2.1262022706344057,7
36,1,aalb,1955.5061311790894,358.4186008419702,26.262391537310783,3
36,2,aalb,254.55185757483363,49.86157133711285,2.289590696141105,3
37,1,aalb,124.51505462873371,0,0.21238345606411912,0
37,2,aalb,221.36622642531256,0,1.759483590086811,13
38,1,aalb,2037.523722308151,0,27.3941263555509,1
38,2,aalb,228.78134210102579,0,1.8779326108150756,9
39,1,fsyl,1661.1974562146702,469.74827489375303,12.955905991339728,29
39,2,aalb,235.58180493432312,56.94028729312787,1.9865631701118531,10
40,1,aalb,2343.4431438061692,0,31.70673421844019,13
40,2,aalb,175.36363666321736,21.245530723912204,1.0246384512400508,27
41,1,fsyl,1701.3779393930213,1043.0136265402716,13.727329301910961,25
