parameter;value;unit;type;explanation
mgm_time_start;;years;integer;intervention timing: year (time step) in which first intervention will take place
mgm_time_interval;;years;integer;intervention timing: interval in years (time steps) between management interventions
mgm_int;;-;double;share of total stand BA to be harvested
mgm_minD;;cm;double;minimal DBH to be harvested
mgm_min_spc_sh_aalb;;-;double;Minimum share of aalb before intervention below which it is exempt from harvest
mgm_min_spc_sh_apse;;-;double;Minimum share of apse before intervention below which it is exempt from harvest
mgm_min_spc_sh_fsyl;;-;double;Minimum share of fsyl before intervention below which it is exempt from harvest
mgm_min_spc_sh_pabi;;-;double;Minimum share of pabi before intervention below which it is exempt from harvest
mgm_buffer;;-;integer;Initial number of cells as buffer between harvested trees (0-2)
mgm_w_spc;;-;integer;relative weight attributed based on tree species, higher weight to more abundant species
mgm_w_BA;;-;integer;relative weight attributed based on tree BA, higher weight to higher BA
mgm_w_CR;;-;integer;relative weight attributed based on tree CR, higher weight to lower CR
