time_Step,Dmin,Species,Dclass_rel,BA_share_marked
5,10.35,pabi,1,0.27197057285721654
5,10.35,pabi,2,0.16055441764311365
5,10.35,pabi,3,0.11458141161123316
5,10.35,pabi,4,0.10668583728303166
5,10.35,pabi,5,0.091063339568938
10,10.4,pabi,1,0.3406527663217683
10,10.4,pabi,2,0.1473705747396025
10,10.4,pabi,3,0.10285520720591475
10,10.4,pabi,4,0.021564472403111205
10,10.4,pabi,5,0
17,11.25,pabi,1,0.5526231231517585
17,11.25,pabi,2,0.23945382051879616
17,11.25,pabi,3,0.20516612312010452
17,11.25,pabi,4,0.09996666126663518
17,11.25,pabi,5,0
