time_Step,Dmin,Species,Dclass_rel,BA_share_marked
1,4,pabi,1,0.22562350339624815
1,4,pabi,2,0.09180502741219287
1,4,pabi,3,0.05633180783792302
1,4,pabi,4,0
1,4,pabi,5,0
5,4,pabi,1,0.12210518661982304
5,4,pabi,2,0.026945784975784925
5,4,pabi,3,0.03665856174937347
5,4,pabi,4,0.03180543729476877
5,4,pabi,5,0
12,4.2,pabi,1,0.3944364742587007
12,4.2,pabi,2,0.08936675499998147
12,4.2,pabi,3,0.04092545669411975
12,4.2,pabi,4,0
12,4.2,pabi,5,0
17,5.7,pabi,1,0.4887680142739119
17,5.7,pabi,2,0.20218170620005682
17,5.7,pabi,3,0.07441584259308877
17,5.7,pabi,4,0.04324654988917134
17,5.7,pabi,5,0
23,6.1,pabi,1,0.3374180459533566
23,6.1,pabi,2,0.13192082639787023
23,6.1,pabi,3,0.0772247772336736
23,6.1,pabi,4,0.0736733761334911
23,6.1,pabi,5,0
30,6.4,pabi,1,0.23047277587296586
30,6.4,pabi,2,0.22337650283257238
30,6.4,pabi,3,0.11888385423006262
30,6.4,pabi,4,0
30,6.4,pabi,5,0
47,11.95,pabi,1,0.24449228369862602
47,11.95,pabi,2,0.1559234679747219
47,11.95,pabi,3,0.04708238026901865
47,11.95,pabi,4,0
47,11.95,pabi,5,0
57,11.95,pabi,1,0.4914066564143457
57,11.95,pabi,2,0.12216034540557413
57,11.95,pabi,3,0.14128033414627206
57,11.95,pabi,4,0
57,11.95,pabi,5,0
