time_Step,Dmin,Species,Dclass_rel,BA_share_marked
3,13.75,aalb,1,0.4135935516747429
3,13.75,aalb,2,0.11918801703273126
3,13.75,aalb,3,0.06064161925777677
3,13.75,aalb,4,0.07038719334268657
3,13.75,aalb,5,0
3,8.75,fsyl,1,0.5459571670104476
3,8.75,fsyl,2,0.15393681239906337
3,8.75,fsyl,3,0.02226219894121765
3,8.75,fsyl,4,0
3,8.75,fsyl,5,0
8,14.2,aalb,1,0.6210866603603644
8,14.2,aalb,2,0.16749742985403693
8,14.2,aalb,3,0
8,14.2,aalb,4,0
8,14.2,aalb,5,0
8,11.4,fsyl,1,0.3092532192777031
8,11.4,fsyl,2,0.054133158987929156
8,11.4,fsyl,3,0
8,11.4,fsyl,4,0
8,11.4,fsyl,5,0
20,8,aalb,1,0
20,8,aalb,2,0.3353448914492093
20,8,aalb,3,0.1807748506477448
20,8,aalb,4,0.028442056217112315
20,8,aalb,5,0
20,12.6,fsyl,1,0.5124281397086244
20,12.6,fsyl,2,0.05169095273817001
20,12.6,fsyl,3,0.018919399471914726
20,12.6,fsyl,4,0
20,12.6,fsyl,5,0
28,7.8,aalb,1,0
28,7.8,aalb,2,0.7031635657198658
28,7.8,aalb,3,0.5164847601160389
28,7.8,aalb,4,0.19121631251514057
28,7.8,aalb,5,0
28,15.8,fsyl,1,0.14762015366225756
28,15.8,fsyl,2,0.047329514751337204
28,15.8,fsyl,3,0.08673174349515145
28,15.8,fsyl,4,0
28,15.8,fsyl,5,0
33,7.8,aalb,1,0
33,7.8,aalb,2,1
33,7.8,aalb,3,0.1075311301885311
33,7.8,aalb,4,0.1397497144632418
33,7.8,aalb,5,0
33,16.4,fsyl,1,0.22698610760506407
33,16.4,fsyl,2,0.06077136466517112
33,16.4,fsyl,3,0.029350102111076627
33,16.4,fsyl,4,0
33,16.4,fsyl,5,0
41,7.45,aalb,1,0
41,7.45,aalb,2,0
41,7.45,aalb,3,0.09834489315020598
41,7.45,aalb,4,0
41,7.45,aalb,5,0.11668998453903845
41,18.8,fsyl,1,0.3396163689311822
41,18.8,fsyl,2,0.044127017603607814
41,18.8,fsyl,3,0
41,18.8,fsyl,4,0
41,18.8,fsyl,5,0
49,7.5,aalb,1,0
49,7.5,aalb,2,0
49,7.5,aalb,3,0
49,7.5,aalb,4,0
49,7.5,aalb,5,0
49,22.55,fsyl,1,0.0657234911809892
49,22.55,fsyl,2,0
49,22.55,fsyl,3,0
49,22.55,fsyl,4,0
49,22.55,fsyl,5,0
57,7.45,aalb,1,0.027285817606916944
57,7.45,aalb,2,0
57,7.45,aalb,3,0.5484668790965593
57,7.45,aalb,4,0.3242544742149313
57,7.45,aalb,5,0.2585863201885641
57,7.1,fsyl,1,0
57,7.1,fsyl,2,0.6617929945816465
57,7.1,fsyl,3,0.5554082508804375
57,7.1,fsyl,4,0.23654100984681573
57,7.1,fsyl,5,0
