time_Step,Dmin,Species,Dclass_rel,BA_share_marked
4,8,aalb,1,0
4,8,aalb,2,0
4,8,aalb,3,0
4,8,aalb,4,0
4,8,aalb,5,0
4,8,fsyl,1,0
4,8,fsyl,2,0
4,8,fsyl,3,0.18243578132621585
4,8,fsyl,4,0.26221734965421106
4,8,fsyl,5,0
4,30.6,pabi,1,0.16199457546091536
4,30.6,pabi,2,0.1728661706875646
4,30.6,pabi,3,0.10247167647415212
4,30.6,pabi,4,0
4,30.6,pabi,5,0.14280391517473479
10,8,aalb,1,0.0126589674177654
10,8,aalb,2,0
10,8,aalb,3,0
10,8,aalb,4,0
10,8,aalb,5,0
10,8,fsyl,1,0
10,8,fsyl,2,0
10,8,fsyl,3,0
10,8,fsyl,4,0
10,8,fsyl,5,0.2044135359272514
10,31.95,pabi,1,0.08733862669828993
10,31.95,pabi,2,0.07296470504585592
10,31.95,pabi,3,0.06373521580651886
10,31.95,pabi,4,0.052184352487219275
10,31.95,pabi,5,0
16,8,aalb,1,0
16,8,aalb,2,0
16,8,aalb,3,0
16,8,aalb,4,0
16,8,aalb,5,0.4870643299912527
16,8,fsyl,1,0
16,8,fsyl,2,0
16,8,fsyl,3,0.25062959427453174
16,8,fsyl,4,0.2177340750959693
16,8,fsyl,5,0.15786132237906575
16,33.9,pabi,1,0.05421144595350397
16,33.9,pabi,2,0
16,33.9,pabi,3,0.12831595046996314
16,33.9,pabi,4,0.05201997717572352
16,33.9,pabi,5,0.17115545020731293
23,8,aalb,1,0.01907691397642744
23,8,aalb,2,0
23,8,aalb,3,0
23,8,aalb,4,0
23,8,aalb,5,0
23,8,fsyl,1,0.02765318120454644
23,8,fsyl,2,0
23,8,fsyl,3,0.3293767185274783
23,8,fsyl,4,0.4032790654552197
23,8,fsyl,5,0.10977372391267598
23,35,pabi,1,0
23,35,pabi,2,0.15463365015209704
23,35,pabi,3,0.03142486231558726
23,35,pabi,4,0.06168406853162322
23,35,pabi,5,0.23137798481154132
31,7.5,aalb,1,0.026229788727251815
31,7.5,aalb,2,0.02918659315819682
31,7.5,aalb,3,0
31,7.5,aalb,4,0
31,7.5,aalb,5,0
31,7.2,fsyl,1,0.061507650835189845
31,7.2,fsyl,2,0.20629675190836586
31,7.2,fsyl,3,0.49550907261453103
31,7.2,fsyl,4,0
31,7.2,fsyl,5,0.7361301565093035
31,36.05,pabi,1,0
31,36.05,pabi,2,0.056141876562246174
31,36.05,pabi,3,0.07894315866411292
31,36.05,pabi,4,0
31,36.05,pabi,5,0
39,7.4,aalb,1,0.03212888473621642
39,7.4,aalb,2,0.06439578617144663
39,7.4,aalb,3,0
39,7.4,aalb,4,0
39,7.4,aalb,5,0
39,7.4,fsyl,1,0.00397049708522329
39,7.4,fsyl,2,0
39,7.4,fsyl,3,0
39,7.4,fsyl,4,0
39,7.4,fsyl,5,0
39,36.55,pabi,1,0.2516232303903967
39,36.55,pabi,2,0.2668615191067798
39,36.55,pabi,3,0.111160096827812
39,36.55,pabi,4,0.20591997365998377
39,36.55,pabi,5,0
47,7.65,aalb,1,0
47,7.65,aalb,2,0
47,7.65,aalb,3,0
47,7.65,aalb,4,0
47,7.65,aalb,5,1
47,7.5,fsyl,1,0
47,7.5,fsyl,2,0
47,7.5,fsyl,3,0
47,7.5,fsyl,4,0
47,7.5,fsyl,5,0
47,37.7,pabi,1,0.19060563613553175
47,37.7,pabi,2,0.24573824274202524
47,37.7,pabi,3,0.1953789346518505
47,37.7,pabi,4,0.27957345812998863
47,37.7,pabi,5,0.46474979264583904
55,7.6,aalb,1,0.10895663127371995
55,7.6,aalb,2,0.13709077328756183
55,7.6,aalb,3,0.20296278060975953
55,7.6,aalb,4,0
55,7.6,aalb,5,0
55,7.1,fsyl,1,0.3059139516869741
55,7.1,fsyl,2,0.14771474427321996
55,7.1,fsyl,3,0.22460327325460952
55,7.1,fsyl,4,0
55,7.1,fsyl,5,0
55,41.65,pabi,1,0.5084659296366902
55,41.65,pabi,2,0.3012271659249392
55,41.65,pabi,3,0.14669727233246027
55,41.65,pabi,4,0.2780890145507834
55,41.65,pabi,5,0
63,7.5,aalb,1,0.16257075185986378
63,7.5,aalb,2,0.30097175286765776
63,7.5,aalb,3,0.06844354611735098
63,7.5,aalb,4,0
63,7.5,aalb,5,0
63,7.6,fsyl,1,0.2880376286330701
63,7.6,fsyl,2,0.29675489206153965
63,7.6,fsyl,3,0.13535385864556998
63,7.6,fsyl,4,0.3709038710957222
63,7.6,fsyl,5,0
63,43.2,pabi,1,1
63,43.2,pabi,2,0
63,43.2,pabi,3,0.3353361526103343
63,43.2,pabi,4,0.2865802151575397
63,43.2,pabi,5,0.5214751600180242
71,7.75,aalb,1,0.020098595631200915
71,7.75,aalb,2,0.10324236762950305
71,7.75,aalb,3,0.057880168956826634
71,7.75,aalb,4,0.2067040311561935
71,7.75,aalb,5,0
71,7.6,fsyl,1,0.0857911812168429
71,7.6,fsyl,2,0.17665776751329812
71,7.6,fsyl,3,0
71,7.6,fsyl,4,0.5319353954288276
71,7.6,fsyl,5,0.392414126056593
71,55.15,pabi,1,0.2645073099237025
71,55.15,pabi,2,0.2534165834330217
71,55.15,pabi,3,0.3157196058114675
71,55.15,pabi,4,0.344241874518324
71,55.15,pabi,5,0.21299016109173727
